,document_id,pr_number,status,message
54,TD18112628,10160329,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
55,TD18112641,10160940,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
56,TD1811265,10160540,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
57,TD18112657,10155782,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
58,TD18112672,10154658,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
59,TD18112684,10155506,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
60,TD18112687,101605502,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
61,TD18112689,10155657,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
62,TD1811269,10154681,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
63,TD18112696,10157637,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
64,TD18112697,10154679,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
65,TD1812041,10161192,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
66,TD1812042,10139159,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
67,TD18120424,10139151,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
68,TD18120427,10161194,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
69,TD18120436,10139164,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
70,TD18120437,10161190,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
71,TD18120441,10139168,Failed,PR Object not found
72,TD18120450,10139153,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
73,TD18120451,10160122,Failed,PR Object not found
74,TD18120460,10139156,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
75,TD18120461,10139165,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
76,TD18120464,10139167,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
77,TD18120468,10139158,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
78,TD18120474,10161195,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
79,TD18120485,10161347,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
80,TD18120486,10160122,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
81,TD18120493,10160123,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
82,TD18120494,10139162,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
83,TD18120495,10161193,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
84,TD18120496,10139154,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
85,TD1812051,10139200,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
86,TD18120513,10158700,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
87,TD18120514,10160716,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
88,TD18120518,10139188,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
89,TD18120526,10161267,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
90,TD18120528,10139199,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
91,TD1812053,10139191,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
92,TD18120539,10139171,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
93,TD1812054,10139194,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
94,TD18120541,10139189,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
95,TD18120546,10151021,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
96,TD18120547,10139183,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
97,TD18120551,10139190,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
98,TD18120557,10139209,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
99,TD18120558,10139172,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
100,TD18120559,10139169,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
101,TD18120560,10139197,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
102,TD18120562,10139192,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
103,TD18120563,10139204,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
104,TD18120571,10139202,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
105,TD18120572,10139197,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
106,TD18120578,10159662,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
107,TD1812058,10139206,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
108,TD18120583,10139177,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
109,TD18120584,10139180,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
110,TD18120585,10160122,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
111,TD18120586,10139205,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
112,TD18120587,10160123,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
113,TD18120589,10139168,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
114,TD1812059,10139198,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
115,TD18120590,10161196,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
116,TD18120717,10152748,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
117,TD18120731,10156665,Failed,PR Object not found
118,TD18120738,10153057,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
119,TD18120748,10152748,Failed,PR Object not found
120,TD18120749,10153057,Failed,PR Object not found
121,TD18120791,10156665,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
122,TD18121120,10159659,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
123,TD18121134,10152850,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
124,TD18121138,10161696,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
125,TD18121148,10161695,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
126,TD18121161,10150973,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
127,TD18121168,10155447,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
128,TD18121431,10161305,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
129,TD18121433,10157517,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
130,TD18121440,10132623,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
131,TD18121453,10160151,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
132,TD18121456,10161952,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
133,TD18121460,10131442,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
134,TD18121465,10161302,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
135,TD18121468,10157637,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
136,TD18121472,10161196,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
137,TD18121479,10161304,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
138,TD18121481,10161952,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
139,TD18121484,10157518,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
140,TD18121493,10161267,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
141,TD18121495,10132583,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
142,TD18121712,10161463,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
143,TD18121713,10143120,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
144,TD18121715,10162721,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
145,TD18121717,10158689,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
146,TD18121719,10162722,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
147,TD1812173,10158689,Failed,PR Object not found
148,TD18121730,10140731,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
149,TD18121747,10161880,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
150,TD18121763,10143174,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
151,TD18121766,10162717,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
152,TD18121769,10161919,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
153,TD1812177,10160120,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
154,TD18121770,10158688,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
155,TD18121773,10162207,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
156,TD18121778,10162747,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
157,TD18121782,10159647,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
158,TD18121789,10162718,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
159,TD1812179,10162568,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
160,TD18121790,10162205,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
161,TD18121793,10162617,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
162,TD18121794,10162720,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
163,TD18121795,10162676,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
164,TD19011494,,Success,Success
165,TD19021330,,Success,Success
166,TD19021387,,Success,Success
167,TD19021440,,Success,Success
168,TD19021443,,Success,Success
169,TD1902153,,Success,Success
170,TD19021821,,Success,Success
171,TD19021832,,Success,Success
172,TD19021845,,Success,Success
173,TD19021886,,Success,Success
174,TD19021899,,Success,Success
175,TD19022022,,Success,Success
176,TD19022046,,Success,Success
177,TD1902205,,Success,Success
178,TD19022054,,Success,Success
179,TD19022097,,Success,Success
180,TD19022099,,Success,Success
181,TD19022224,,Success,Success
182,TD19022252,,Success,Success
183,TD19022512,,Success,Success
184,TD19022561,,Success,Success
185,TD1902261,,Success,Success
186,TD19022611,,Success,Success
187,TD19022616,,Success,Success
188,TD19022639,,Success,Success
189,TD19022646,,Success,Success
190,TD19022682,,Success,Success
191,TD19022683,,Success,Success
192,TD19022743,,Success,Success
193,TD19022885,,Success,Success
194,TD19030513,,Success,Success
195,TD19030523,,Success,Success
196,TD19030528,,Success,Success
197,TD19030555,,Success,Success
198,TD19030564,,Success,Success
199,TD19030568,,Success,Success
200,TD19030571,10166470,Failed,PR Object not found
201,TD19030575,10163745,Failed,PR Object not found
202,TD19030587,,Success,Success
203,TD19031447,,Success,Success
204,TD19031495,10165906,Failed,PR Object not found
205,TD19031568,,Success,Success
206,TD19041364,,Success,Success
207,TD19041369,10168419,Failed,"(1048, ""Column 'created_by_id' cannot be null"")"
208,TD19051915,,Success,Success
209,TD1905192,,Success,Success
210,TD1905193,,Success,Success
211,TD19051957,,Success,Success
212,TD19051961,,Success,Success
213,TD19051978,,Success,Success
214,TD19052175,10175397,Failed,PR Object not found
215,TD19052360,10174575,Failed,PR Object not found
216,TD19061358,,Success,Success
217,TD19061363,,Success,Success
218,TD19061432,10175039,Failed,"(1048, ""Column 'created_by_id' cannot be null"")"
219,TD19062132,,Success,Success
220,TD19070953,,Success,Success
221,TD19071068,,Success,Success
222,TD1907107,,Success,Success
223,TD1907154,,Success,Success
224,TD19071569,,Success,Success
225,TD19071857,,Success,Success
226,TD19072354,,Success,Success
227,TD19072433,10178514,Failed,PR Object not found
228,TD19080516,,Success,Success
229,TD19080543,,Success,Success
230,TD19080556,,Success,Success
231,TD19080569,,Success,Success
232,TD19080572,10179794,Failed,PR Object not found
233,TD1908058,,Success,Success
234,TD19082270,,Success,Success
235,TD19091311,,Success,Success
236,TD19091318,,Success,Success
237,TD19091337,,Success,Success
238,TD19091345,,Success,Success
239,TD19091349,,Success,Success
240,TD1909136,,Success,Success
241,TD19091392,,Success,Success
242,TD19091729,,Success,Success
243,TD19091764,10182210,Failed,PR Object not found
244,TD19091794,10182215,Failed,"(1048, ""Column 'created_by_id' cannot be null"")"
245,TD19091815,10182215,Failed,PR Object not found
246,TD19091935,,Success,Success
247,TD19091946,10180905,Failed,PR Object not found
248,TD19091957,,Success,Success
249,TD19091970,,Success,Success
250,TD19092332,,Success,Success
251,TD19092378,,Success,Success
252,TD19092412,,Success,Success
253,TD19092443,,Success,Success
254,TD19092464,,Success,Success
255,TD1909249,,Success,Success
256,TD19093088,10183229,Failed,PR Object not found
257,TD19101034,,Success,Success
258,TD19101686,10183784,Failed,PR Object not found
259,TD19102383,10152699,Failed,PR Object not found
260,TD19120556,,Success,Success
261,TD19120563,10187202,Failed,PR Object not found
262,TD19120575,,Success,Success
263,TD19121183,,Success,Success
264,TD19121618,,Success,Success
265,TD20020735,,Success,Success
266,TD20020739,,Success,Success
267,TD2002074,,Success,Success
268,TD2002075,,Success,Success
269,TD20020752,,Success,Success
270,TD20020759,,Success,Success
271,TD20020764,,Success,Success
272,TD20021998,,Success,Success
273,TD20072059,RQ20052010,Failed,PR Object not found
274,TD20073043,,Success,Success
275,TD20090426,,Success,Success
276,TD20090715,10194762,Failed,PR Object not found
277,TD20090920,RFQ20082654,Failed,PR Object not found
278,TD20090944,,Success,Success
279,TD20090978,,Success,Success
280,TD20090994,RFQ20082625,Failed,PR Object not found
281,TD20091016,,Success,Success
282,TD20091053,,Success,Success
283,TD20091089,,Success,Success
284,TD20091093,PR10192467,Failed,PR Object not found
285,TD2009115,,Success,Success
286,TD20091155,,Success,Success
287,TD2009117,PR10191769,Failed,PR Object not found
288,TD20091181,,Success,Success
289,TD20092412,,Success,Success
290,TD2009243,,Success,Success
291,TD20092483,,Success,Success
292,TD20092837,,Success,Success
293,TD20092887,,Success,Success
294,TD20092893,,Success,Success
295,TD20092930,,Success,Success
296,TD20092931,,Success,Success
297,TD20092933,,Success,Success
298,TD20092934,,Success,Success
299,TD20092948,,Success,Success
300,TD20092951,,Success,Success
301,TD20092960,,Success,Success
302,TD20092961,,Success,Success
303,TD20092967,,Success,Success
304,TD2009297,,Success,Success
305,TD20092971,,Success,Success
306,TD20092974,,Success,Success
307,TD20092995,,Success,Success
308,TD20100555,,Success,Success
309,TD2010061,,Success,Success
310,TD20100610,,Success,Success
311,TD20100618,,Success,Success
312,TD20100625,,Success,Success
313,TD20100627,,Success,Success
314,TD20100629,,Success,Success
315,TD2010063,,Success,Success
316,TD20100630,,Success,Success
317,TD20100631,,Success,Success
318,TD20100647,,Success,Success
319,TD2010065,,Success,Success
320,TD20100651,,Success,Success
321,TD20100658,,Success,Success
322,TD2010066,,Success,Success
323,TD20100661,,Success,Success
324,TD20100671,,Success,Success
325,TD20100674,,Success,Success
326,TD20100678,,Success,Success
327,TD20100687,RFQ20082624,Failed,PR Object not found
328,TD20100688,,Success,Success
329,TD2010069,,Success,Success
330,TD20100691,,Success,Success
331,TD20100692,,Success,Success
332,TD20100699,,Success,Success
333,TD20100715,,Success,Success
334,TD20100742,,Success,Success
335,TD20100743,,Success,Success
336,TD20100745,,Success,Success
337,TD20100747,,Success,Success
338,TD20100759,,Success,Success
339,TD20100779,,Success,Success
340,TD20100792,RFQ20090194,Failed,PR Object not found
341,TD20100795,,Success,Success
342,TD20100816,,Success,Success
343,TD20100818,,Success,Success
344,TD20100827,,Success,Success
345,TD20100835,,Success,Success
346,TD20100893,,Success,Success
347,TD20100924,,Success,Success
348,TD20100962,,Success,Success
349,TD2010097,,Success,Success
350,TD20100989,,Success,Success
351,TD2010099,,Success,Success
352,TD20100999,,Success,Success
353,TD20101235,RFQ10197902,Failed,PR Object not found
354,TD20101294,,Success,Success
355,TD20101324,,Success,Success
356,TD20101357,,Success,Success
357,TD20101391,,Success,Success
358,TD20101460,,Success,Success
359,TD20101461,,Success,Success
360,TD2010148,10191770,Failed,PR Object not found
361,TD20101493,PR10191775,Failed,PR Object not found
362,TD20101532,,Success,Success
363,TD20101584,PR10191769,Failed,PR Object not found
364,TD20101918,RFQ20092968,Failed,PR Object not found
365,TD20101947,,Success,Success
366,TD2010195,RQ20082625,Failed,PR Object not found
367,TD20101974,,Success,Success
368,TD20101987,,Success,Success
369,TD20101990,,Success,Success
370,TD20102010,,Success,Success
371,TD20102020,,Success,Success
372,TD20102022,RQ20092896,Failed,PR Object not found
373,TD20102026,,Success,Success
374,TD20102029,,Success,Success
375,TD20102037,,Success,Success
376,TD20102038,,Success,Success
377,TD20102040,,Success,Success
378,TD20102041,,Success,Success
379,TD20102046,,Success,Success
380,TD20102056,,Success,Success
381,TD20102059,,Success,Success
382,TD2010206,,Success,Success
383,TD20102063,,Success,Success
384,TD2010208,,Success,Success
385,TD20102089,,Success,Success
386,TD2010209,,Success,Success
387,TD20102297,,Success,Success
388,TD20102314,,Success,Success
389,TD20102317,,Success,Success
390,TD20102319,,Success,Success
391,TD20102344,,Success,Success
392,TD20102346,RQ20092375,Failed,PR Object not found
393,TD20102354,,Success,Success
394,TD20102357,RQ10191769,Failed,PR Object not found
395,TD20102386,,Success,Success
396,TD20102392,,Success,Success
397,TD20102398,RQ20092375,Failed,PR Object not found
398,TD2010271,,Success,Success
399,TD20102813,,Success,Success
400,TD20102819,RQ20091712,Failed,PR Object not found
401,TD20102845,RQ20091712,Failed,PR Object not found
402,TD20102927,,Success,Success
403,TD20102943,,Success,Success
404,TD20102966,,Success,Success
405,TD20102981,,Success,Success
406,TD20102986,,Success,Success
407,TD20102993,,Success,Success
408,TD20102996,RQ20082670,Failed,PR Object not found
409,TD20110314,,Success,Success
410,TD20110324,,Success,Success
411,TD20110326,,Success,Success
412,TD20110333,,Success,Success
413,TD20110352,,Success,Success
414,TD20110357,,Success,Success
415,TD20110358,,Success,Success
416,TD2011037,RQ20031826,Failed,PR Object not found
417,TD20110375,,Success,Success
418,TD20110380,,Success,Success
419,TD20110436,,Success,Success
420,TD20110447,RQ20092833,Failed,PR Object not found
421,TD2011045,,Success,Success
422,TD20110465,,Success,Success
423,TD20110466,RQ20102034,Failed,PR Object not found
424,TD20110480,,Success,Success
425,TD20110494,,Success,Success
426,TD20110524,,Success,Success
427,TD20110544,,Success,Success
428,TD20110556,,Success,Success
429,TD20110564,,Success,Success
430,TD20110592,RQ20102034,Failed,PR Object not found
431,TD20110594,,Success,Success
432,TD20110694,,Success,Success
433,TD20110941,,Success,Success
434,TD20111026,RQ10191769,Failed,PR Object not found
435,TD20111030,,Success,Success
436,TD20111032,,Success,Success
437,TD20111058,,Success,Success
438,TD20111078,,Success,Success
439,TD20111081,,Success,Success
440,TD20111157,,Success,Success
441,TD20111183,,Success,Success
442,TD20111184,,Success,Success
443,TD20111185,,Success,Success
444,TD20111246,,Success,Success
445,TD20111271,,Success,Success
446,TD2011129,,Success,Success
447,TD20111311,,Success,Success
448,TD20111316,,Success,Success
449,TD20111345,,Success,Success
450,TD20111350,,Success,Success
451,TD20111378,RQ2012623,Failed,PR Object not found
452,TD20111380,RQ20102674,Failed,PR Object not found
453,TD20111623,,Success,Success
454,TD2011163,,Success,Success
455,TD20111630,,Success,Success
456,TD20111640,,Success,Success
457,TD20111676,,Success,Success
458,TD20111761,,Success,Success
459,TD20111822,,Success,Success
460,TD20111830,,Success,Success
461,TD20111859,,Success,Success
462,TD2011188,,Success,Success
463,TD20111880,RQ20031826,Failed,PR Object not found
464,TD20111884,,Success,Success
465,TD20111912,,Success,Success
466,TD20111928,,Success,Success
467,TD20111934,,Success,Success
468,TD20111942,,Success,Success
469,TD20111991,,Success,Success
470,TD2011231,,Success,Success
471,TD20112312,RQ20111324,Failed,PR Object not found
472,TD20112339,,Success,Success
473,TD20112347,,Success,Success
474,TD20112378,RQ20111324,Failed,PR Object not found
475,TD20112417,,Success,Success
476,TD20112446,,Success,Success
477,TD20112477,,Success,Success
478,TD20112494,,Success,Success
479,TD20112721,,Success,Success
480,TD20112731,,Success,Success
481,TD20113095,,Success,Success
482,TD20120331,RQ20032373,Failed,PR Object not found
483,TD20120361,,Success,Success
484,TD20120368,,Success,Success
485,TD2012043,,Success,Success
486,TD20120431,,Success,Success
487,TD20120435,,Success,Success
488,TD20120454,,Success,Success
489,TD20120475,,Success,Success
490,TD2012048,,Success,Success
